URL,Response Code,News Error,Detected,Category
http://www.tescoentertainment.com/store/artist/the-beatles/p%3A3056/,410,,2/3/12,Not found
http://www.tescoentertainment.com/store/games/ps3-fifa-12-special-edition/8%3A773678/,404,,12/20/11,Not found
http://www.tescoentertainment.com/store/blu-ray/senna-bluray-triple-play/8%3A776982/,404,,12/1/11,Not found
http://www.tescoentertainment.com/store/games/-deus-ex-3-human-revolution/8%3A728347/,404,,11/23/11,Not found
http://www.tescoentertainment.com/store/artist/caro-emerald/p%3A1344139/,404,,2/8/12,Not found
http://www.tescoentertainment.com/tesco/9960414.product,404,,1/8/12,Not found
http://www.tescoentertainment.com/tesco/10047977.product,404,,2/12/12,Not found
http://www.tescoentertainment.com/tesco/10029462.product,404,,1/12/12,Not found
http://www.tescoentertainment.com/store/artist/simon-%26-garfunkel/p%3A4671/,410,,2/6/12,Not found
http://www.tescoentertainment.com/tesco/9976668.product,404,,2/3/12,Not found
http://www.tescoentertainment.com/store/games/-deus-ex-3-human-revolution/8%3A728348/,404,,11/25/11,Not found
http://www.tescoentertainment.com/store/artist/nadine/p%3A773542/,410,,3/10/12,Not found
http://www.tescoentertainment.com/store/artist/coldplay/p%3A399802/,410,,2/14/12,Not found
http://www.tescoentertainment.com/store/artist/kylie-minogue/p%3A4211/,410,,2/14/12,Not found
http://www.tescoentertainment.com/store/artist/the-xx/p%3A1115294/,410,,2/8/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/tvpagetvonbluray/,404,,3/5/12,Not found
http://www.tescoentertainment.com/tesco/9994817.product,404,,1/26/12,Not found
http://www.tescoentertainment.com/store/artist/avril-lavigne/p%3A483753/,410,,2/15/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/tvpagebestofuktv/,404,,3/7/12,Not found
http://www.tescoentertainment.com/store/artist/massive-attack/p%3A10235/,410,,2/12/12,Not found
http://www.tescoentertainment.com/store/cd/various-artists-coronation-street-rogues-angels-heroes-and-fools---the-album/8%3A731733/,404,,11/29/11,Not found
http://www.tescoentertainment.com/store/artist/joni-mitchell/p%3A4220/,410,,2/8/12,Not found
http://www.tescoentertainment.com/store/artist/jessie-j/p%3A1612171/,410,,3/3/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/tvpagebestofbbc/,404,,3/7/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/tvpagebestofatlantic/,404,,3/5/12,Not found
http://www.tescoentertainment.com/store/artist/the-streets/p%3A483229/,410,,2/2/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/tvpagekidstv/,404,,3/7/12,Not found
http://www.tescoentertainment.com/store/artist/boyz-ii-men/p%3A3167/,404,,2/13/12,Not found
http://www.tescoentertainment.com/store/games/-rage-anarchy-edition/8%3A774279/,404,,11/13/11,Not found
http://www.tescoentertainment.com/store/artist/the-pussycat-dolls/p%3A654072/,410,,2/9/12,Not found
